satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Loyal Customer,40,Business travel,Eco Plus,1702,5,5,5,5,5,5,2,3,1,5,1,5,0,0.0
satisfied,Loyal Customer,22,Business travel,Business,2008,3,3,3,4,4,4,2,4,2,3,5,4,2,0.0
dissatisfied,disloyal Customer,25,Business travel,Eco,1445,4,4,4,5,2,5,5,5,2,5,5,5,0,57.0
dissatisfied,Loyal Customer,30,Personal Travel,Eco,2233,4,2,3,1,5,1,3,4,2,1,5,1,0,6.0
satisfied,Loyal Customer,18,Business travel,Business,3098,3,3,3,4,4,4,3,5,4,4,5,4,0,0.0
dissatisfied,Loyal Customer,37,Personal Travel,Eco,2072,3,3,5,5,5,5,5,3,4,3,3,5,0,0.0
satisfied,Loyal Customer,47,Personal Travel,Eco,204,4,5,5,1,2,5,5,5,5,1,5,4,0,0.0
satisfied,Loyal Customer,62,Personal Travel,Eco,332,5,5,5,4,4,4,4,4,4,5,4,5,0,0.0
satisfied,Loyal Customer,48,Business travel,Business,515,1,1,1,2,5,5,5,5,5,4,5,4,51,52.0
satisfied,Loyal Customer,51,Business travel,Business,593,2,2,2,2,4,4,4,4,4,5,4,3,13,12.0
dissatisfied,Loyal Customer,47,Personal Travel,Eco,1121,3,4,3,1,1,5,5,4,5,2,5,2,0,0.0
dissatisfied,Loyal Customer,40,Personal Travel,Eco Plus,1910,5,4,3,5,5,5,3,4,4,4,5,5,0,0.0
dissatisfied,Loyal Customer,22,Personal Travel,Eco,978,3,2,3,4,4,4,1,5,4,3,3,4,0,25.0
satisfied,Loyal Customer,25,Business travel,Business,5189,3,3,3,4,4,4,5,2,5,4,5,4,0,0.0
satisfied,Loyal Customer,57,Business travel,Eco Plus,484,3,4,4,5,2,4,4,4,4,4,4,5,0,14.0
dissatisfied,Loyal Customer,48,Personal Travel,Eco,1764,5,2,2,2,5,2,3,4,5,4,4,2,30,36.0
dissatisfied,Loyal Customer,26,Personal Travel,Eco,2194,1,2,2,4,4,4,2,4,2,2,3,4,9,0.0
dissatisfied,Loyal Customer,19,Personal Travel,Eco,1754,4,3,3,4,4,4,3,4,5,5,4,4,0,0.0
dissatisfied,disloyal Customer,22,Business travel,Eco,1449,4,3,3,3,3,3,5,2,4,3,4,3,0,0.0
dissatisfied,Loyal Customer,40,Personal Travel,Eco,1286,4,2,3,3,3,3,4,5,3,1,3,3,31,38.0
dissatisfied,disloyal Customer,24,Business travel,Eco,2165,0,4,4,4,4,4,4,3,4,3,4,4,0,0.0
dissatisfied,Loyal Customer,24,Business travel,Eco,1583,3,3,3,3,3,3,2,4,4,4,4,3,8,2.0
satisfied,Loyal Customer,19,Personal Travel,Eco,1298,1,4,4,4,4,4,4,4,3,2,4,4,0,0.0
dissatisfied,disloyal Customer,60,Business travel,Eco,2539,3,3,4,3,2,3,3,4,3,2,4,2,142,171.0
dissatisfied,Loyal Customer,67,Business travel,Eco,1594,1,1,1,3,3,3,1,3,3,2,3,3,31,22.0
dissatisfied,Loyal Customer,57,Business travel,Eco,1879,5,5,5,3,3,3,4,1,4,4,3,3,0,0.0
dissatisfied,Loyal Customer,43,Business travel,Business,2969,3,3,3,5,3,2,2,2,2,4,2,2,33,27.0
satisfied,Loyal Customer,42,Business travel,Business,2228,4,4,4,5,5,4,4,4,4,3,4,5,9,9.0
satisfied,Loyal Customer,20,Personal Travel,Eco,2011,4,4,4,4,4,4,4,4,4,4,4,4,0,0.0
dissatisfied,Loyal Customer,42,Business travel,Eco,1277,1,1,1,3,3,3,2,2,2,4,3,3,0,0.0
dissatisfied,disloyal Customer,34,Business travel,Eco,1669,0,3,2,1,1,1,1,4,5,1,1,1,64,49.0
dissatisfied,Loyal Customer,36,Business travel,Eco,3442,1,1,1,3,3,3,3,5,3,2,4,3,9,33.0
satisfied,Loyal Customer,57,Business travel,Business,714,2,2,2,5,5,4,4,4,4,4,4,4,0,0.0
dissatisfied,disloyal Customer,26,Business travel,Business,2014,1,1,3,3,3,3,5,2,4,3,4,3,0,0.0
satisfied,Loyal Customer,53,Business travel,Business,3205,1,1,1,3,4,4,4,4,4,5,4,3,94,70.0
dissatisfied,disloyal Customer,20,Business travel,Eco,1486,3,1,3,1,1,1,2,1,4,3,3,1,0,0.0
satisfied,Loyal Customer,46,Business travel,Business,1935,4,4,4,4,4,4,4,4,4,3,4,4,0,0.0
dissatisfied,Loyal Customer,40,Personal Travel,Eco,2194,4,3,1,3,3,3,4,3,4,3,4,3,59,41.0
dissatisfied,Loyal Customer,27,Personal Travel,Eco,2230,4,5,1,5,5,5,4,3,5,2,2,5,0,0.0
dissatisfied,disloyal Customer,36,Business travel,Eco,1814,2,4,4,1,1,1,2,1,4,1,3,1,59,48.0
dissatisfied,disloyal Customer,10,Business travel,Eco,2248,2,2,3,3,3,3,5,5,4,5,4,3,0,0.0
satisfied,Loyal Customer,43,Personal Travel,Eco,2785,4,0,3,3,3,3,3,3,1,3,5,3,0,0.0
dissatisfied,Loyal Customer,11,Personal Travel,Business,3718,1,2,3,4,4,4,2,4,3,2,4,4,0,0.0
satisfied,Loyal Customer,52,Business travel,Business,2680,2,2,2,4,4,3,3,4,3,4,3,5,0,0.0
dissatisfied,disloyal Customer,26,Business travel,Eco,1453,1,1,3,5,3,5,2,3,2,2,2,5,30,23.0
satisfied,Loyal Customer,39,Business travel,Business,2781,5,5,5,3,5,4,4,4,5,1,4,3,0,3.0
satisfied,Loyal Customer,55,Business travel,Business,3909,5,5,5,4,2,4,4,4,5,3,4,4,0,0.0
satisfied,Loyal Customer,30,Business travel,Business,2630,1,5,1,5,5,5,5,3,4,4,5,5,6,0.0
satisfied,Loyal Customer,36,Business travel,Business,887,4,4,4,5,3,4,4,5,4,1,4,4,0,0.0
dissatisfied,Loyal Customer,47,Business travel,Business,728,4,4,4,2,4,4,4,4,4,2,4,1,0,0.0
satisfied,Loyal Customer,43,Personal Travel,Eco,2316,5,5,5,5,5,5,2,1,2,1,1,5,4,11.0
satisfied,Loyal Customer,57,Business travel,Business,2692,1,4,1,5,5,5,5,5,5,3,5,4,0,0.0
dissatisfied,Loyal Customer,56,Business travel,Business,1621,2,5,2,5,4,4,4,4,4,3,4,2,9,10.0
dissatisfied,Loyal Customer,47,Personal Travel,Eco,2266,1,3,4,3,1,1,5,4,3,1,2,1,113,141.0
dissatisfied,Loyal Customer,42,Personal Travel,Eco,2576,3,2,4,2,3,2,5,3,3,3,4,2,26,23.0
satisfied,Loyal Customer,59,Personal Travel,Eco,1242,4,4,4,3,4,5,5,4,5,5,5,3,24,12.0
satisfied,Loyal Customer,27,Personal Travel,Eco,1970,1,5,2,1,1,1,1,5,1,4,2,1,0,0.0
dissatisfied,disloyal Customer,21,Business travel,Eco,1473,1,2,4,1,1,1,2,3,3,4,3,1,13,10.0
satisfied,Loyal Customer,35,Personal Travel,Eco,2349,4,4,4,4,4,4,4,4,4,3,4,5,43,29.0
dissatisfied,Loyal Customer,51,Business travel,Business,2594,1,1,1,3,3,4,2,2,2,3,4,3,130,141.0
satisfied,Loyal Customer,44,Business travel,Business,3888,2,2,2,4,4,4,4,4,4,4,4,3,0,0.0
satisfied,Loyal Customer,40,Business travel,Eco,2543,3,3,3,5,5,5,2,1,5,1,1,5,73,94.0
satisfied,Loyal Customer,51,Business travel,Business,1750,1,1,1,2,5,4,4,4,4,3,4,5,25,15.0
dissatisfied,disloyal Customer,26,Business travel,Eco,2510,3,3,3,3,2,4,1,3,5,2,4,2,0,0.0
dissatisfied,disloyal Customer,19,Business travel,Eco,2544,2,2,1,1,3,1,5,5,4,3,4,1,0,0.0
satisfied,Loyal Customer,45,Business travel,Business,1137,4,4,4,4,4,4,4,4,4,4,4,4,1,0.0
satisfied,Loyal Customer,15,Personal Travel,Eco Plus,2069,3,3,3,4,5,3,3,3,3,4,3,4,67,62.0
dissatisfied,Loyal Customer,53,Business travel,Eco,1927,0,0,3,4,2,4,4,4,2,2,2,4,0,0.0
dissatisfied,disloyal Customer,46,Business travel,Eco,2318,4,4,4,5,5,5,4,2,2,5,5,5,0,0.0
dissatisfied,Loyal Customer,39,Business travel,Eco,1177,2,2,2,3,3,3,4,2,4,3,4,3,15,18.0
satisfied,Loyal Customer,25,Personal Travel,Eco,2289,1,1,1,5,5,5,5,5,5,5,5,3,0,0.0
dissatisfied,Loyal Customer,26,Personal Travel,Eco,2580,4,2,3,3,3,3,3,2,4,4,4,3,10,3.0
dissatisfied,Loyal Customer,28,Personal Travel,Eco,2226,5,4,1,4,4,4,4,3,4,4,4,4,8,0.0
dissatisfied,Loyal Customer,28,Personal Travel,Eco Plus,1435,2,4,4,3,3,3,1,5,3,4,4,3,0,0.0
dissatisfied,Loyal Customer,22,Personal Travel,Eco,2817,5,3,1,4,4,4,5,2,4,5,5,4,0,10.0
dissatisfied,disloyal Customer,24,Business travel,Eco,1780,0,3,2,1,5,1,3,5,3,5,4,1,0,0.0
dissatisfied,Loyal Customer,13,Personal Travel,Eco,2222,4,2,4,2,2,3,3,5,4,2,3,2,153,134.0
satisfied,Loyal Customer,23,Business travel,Business,2935,2,2,2,5,5,5,2,3,2,1,3,5,0,0.0
satisfied,Loyal Customer,59,Business travel,Business,584,4,4,4,3,5,5,5,5,5,4,5,3,0,0.0
dissatisfied,Loyal Customer,51,Business travel,Business,461,5,5,5,3,3,1,1,2,1,1,1,1,0,0.0
dissatisfied,disloyal Customer,37,Business travel,Eco Plus,2159,1,1,2,5,5,5,4,5,2,1,5,5,24,27.0
satisfied,Loyal Customer,40,Business travel,Business,2519,3,3,3,3,4,5,5,5,5,3,5,4,0,33.0
satisfied,Loyal Customer,42,Personal Travel,Eco,880,4,4,4,4,4,4,2,5,1,2,5,4,0,2.0
dissatisfied,Loyal Customer,43,Business travel,Eco,308,4,4,4,4,3,1,1,1,1,1,1,1,8,0.0
satisfied,Loyal Customer,59,Business travel,Business,2576,1,1,1,4,4,5,5,5,5,4,5,3,10,8.0
satisfied,Loyal Customer,59,Business travel,Business,1058,3,3,3,4,5,4,4,4,4,5,4,5,0,0.0
satisfied,Loyal Customer,58,Business travel,Business,438,5,1,1,2,4,4,4,4,4,4,4,3,0,0.0
satisfied,Loyal Customer,49,Business travel,Eco,2211,4,3,3,4,4,4,2,2,5,1,3,4,9,0.0
dissatisfied,Loyal Customer,10,Business travel,Business,2722,5,5,5,4,4,4,4,2,3,2,4,4,113,103.0
satisfied,Loyal Customer,42,Business travel,Eco,1237,5,5,5,2,2,2,1,1,5,1,5,2,0,0.0
satisfied,Loyal Customer,42,Business travel,Business,286,0,0,4,4,5,2,2,2,2,4,2,3,6,0.0
dissatisfied,Loyal Customer,13,Personal Travel,Eco,2118,2,2,3,2,2,2,1,4,3,1,3,2,6,9.0
satisfied,Loyal Customer,35,Personal Travel,Eco,2712,4,4,4,3,5,5,5,5,4,3,5,5,0,0.0
dissatisfied,Loyal Customer,12,Personal Travel,Eco,2395,5,4,5,1,1,1,3,4,4,5,4,1,0,0.0
satisfied,Loyal Customer,48,Business travel,Business,1589,4,4,4,4,5,4,4,4,4,4,4,4,13,4.0
dissatisfied,Loyal Customer,39,Business travel,Business,2228,1,1,1,2,4,3,3,3,3,2,3,2,2,6.0
satisfied,Loyal Customer,48,Business travel,Business,1330,1,1,1,5,4,5,5,5,5,3,5,3,0,0.0
satisfied,Loyal Customer,64,Personal Travel,Eco,355,2,2,2,3,4,4,4,4,4,3,4,3,0,0.0
satisfied,Loyal Customer,21,Personal Travel,Eco,2523,2,2,2,2,2,5,5,5,5,2,5,3,3,0.0
satisfied,Loyal Customer,51,Personal Travel,Eco Plus,273,2,1,1,5,5,4,4,5,4,4,4,4,0,0.0
satisfied,Loyal Customer,41,Business travel,Business,790,1,1,1,1,3,5,5,5,5,1,5,4,0,0.0
satisfied,Loyal Customer,17,Personal Travel,Eco,1473,5,4,4,1,1,1,5,5,4,5,5,1,4,0.0
satisfied,Loyal Customer,54,Personal Travel,Eco,593,1,1,1,4,4,4,4,5,4,3,4,4,0,0.0
satisfied,Loyal Customer,16,Personal Travel,Eco,1827,1,1,1,3,4,4,4,4,4,5,4,3,40,52.0
satisfied,Loyal Customer,33,Business travel,Business,3860,0,0,1,2,5,1,1,1,1,5,1,3,27,38.0
satisfied,Loyal Customer,36,Personal Travel,Eco,3836,3,3,3,4,5,4,4,4,4,5,4,5,0,23.0
satisfied,Loyal Customer,46,Business travel,Business,2504,2,2,2,2,4,5,5,5,5,5,5,3,33,44.0
dissatisfied,Loyal Customer,30,Personal Travel,Eco,1583,4,3,3,5,5,5,1,5,4,4,3,5,34,24.0
dissatisfied,disloyal Customer,24,Business travel,Eco,2665,3,3,3,4,1,4,1,1,3,3,3,4,0,0.0
dissatisfied,disloyal Customer,26,Business travel,Eco,2249,1,1,3,1,1,1,5,1,5,2,2,1,72,68.0
satisfied,Loyal Customer,44,Personal Travel,Eco,1058,2,2,2,5,5,2,2,2,2,4,2,3,61,51.0
dissatisfied,disloyal Customer,24,Business travel,Eco,2204,0,2,4,5,5,5,1,5,4,4,2,5,99,110.0
satisfied,Loyal Customer,60,Business travel,Business,3225,1,1,1,5,4,5,5,4,4,4,5,5,13,11.0
dissatisfied,Loyal Customer,66,Business travel,Business,3247,1,1,1,3,4,2,2,2,2,3,2,4,0,0.0
satisfied,Loyal Customer,37,Personal Travel,Business,2130,1,5,3,3,3,3,2,5,3,3,3,3,0,0.0
dissatisfied,Loyal Customer,41,Business travel,Business,93,5,3,3,3,3,3,3,3,3,4,3,2,0,0.0
satisfied,Loyal Customer,53,Business travel,Business,692,1,1,1,3,5,4,4,4,4,5,4,5,0,0.0
dissatisfied,disloyal Customer,35,Business travel,Business,2681,3,3,2,1,5,1,3,5,2,2,2,1,0,0.0
satisfied,Loyal Customer,45,Business travel,Business,624,1,1,1,3,4,4,4,4,4,4,4,4,0,0.0
satisfied,Loyal Customer,22,Business travel,Eco Plus,2874,3,3,3,5,5,5,4,1,1,1,2,5,0,1.0
satisfied,Loyal Customer,59,Business travel,Business,2186,5,5,5,4,4,4,4,4,4,4,4,5,0,0.0
satisfied,Loyal Customer,37,Business travel,Business,448,2,2,2,5,5,4,4,4,4,3,4,5,0,5.0
satisfied,Loyal Customer,44,Business travel,Business,2313,2,2,2,4,3,5,5,5,5,4,5,5,14,0.0
dissatisfied,Loyal Customer,34,Personal Travel,Eco,2466,4,3,2,5,5,5,4,1,1,5,1,5,0,8.0
dissatisfied,Loyal Customer,16,Personal Travel,Eco,1995,4,3,1,1,1,1,3,5,5,3,5,1,0,11.0
satisfied,Loyal Customer,36,Business travel,Business,377,4,4,4,4,4,5,5,5,5,3,5,5,4,2.0
dissatisfied,Loyal Customer,30,Business travel,Business,2771,5,5,5,3,3,3,2,4,4,2,3,3,0,0.0
dissatisfied,Loyal Customer,32,Personal Travel,Eco,1949,4,3,4,4,4,4,2,1,2,3,3,4,0,0.0
satisfied,Loyal Customer,45,Business travel,Business,2335,2,2,2,2,5,4,4,4,4,5,4,5,8,9.0
dissatisfied,Loyal Customer,26,Personal Travel,Eco,2633,4,4,2,5,1,5,4,2,5,3,5,5,0,12.0
satisfied,Loyal Customer,54,Business travel,Business,3452,2,2,2,4,5,4,4,4,4,5,4,4,44,35.0
satisfied,disloyal Customer,49,Business travel,Business,2625,5,5,5,3,3,3,3,3,4,3,4,3,28,1.0
satisfied,Loyal Customer,57,Business travel,Business,269,4,4,4,2,5,5,5,5,5,5,5,5,1,0.0
satisfied,Loyal Customer,42,Business travel,Business,2638,3,3,3,2,4,4,4,4,4,4,4,3,5,0.0
satisfied,Loyal Customer,48,Business travel,Business,346,2,2,2,4,4,4,4,4,4,4,4,5,27,19.0
dissatisfied,Loyal Customer,34,Business travel,Business,434,2,2,2,1,3,1,1,1,1,1,1,4,0,0.0
satisfied,Loyal Customer,43,Business travel,Business,322,0,0,4,2,5,1,1,1,1,3,1,5,0,0.0
satisfied,Loyal Customer,40,Business travel,Business,2512,3,3,3,5,5,3,3,4,3,5,3,3,29,31.0
satisfied,Loyal Customer,46,Business travel,Business,2846,2,2,2,1,2,4,4,4,4,1,4,3,0,0.0
dissatisfied,disloyal Customer,24,Business travel,Eco,1717,1,1,4,2,2,2,2,5,3,3,4,2,0,0.0
satisfied,Loyal Customer,47,Business travel,Business,380,3,3,3,2,4,5,5,5,5,3,5,3,0,0.0
dissatisfied,Loyal Customer,69,Personal Travel,Eco,1108,5,2,5,4,4,4,5,5,4,5,4,4,0,13.0
dissatisfied,Loyal Customer,67,Personal Travel,Eco,1653,0,2,3,1,1,1,3,2,4,5,4,1,0,0.0
dissatisfied,Loyal Customer,52,Business travel,Eco,1970,5,5,5,3,3,3,3,1,3,3,2,3,11,14.0
dissatisfied,Loyal Customer,7,Personal Travel,Eco,2496,1,4,2,5,5,5,1,1,3,2,3,5,11,3.0
satisfied,Loyal Customer,27,Business travel,Business,4092,3,3,3,4,4,4,4,5,5,3,4,4,0,0.0
dissatisfied,disloyal Customer,20,Business travel,Eco,2064,3,1,3,2,2,2,1,3,3,3,3,2,0,0.0
dissatisfied,Loyal Customer,39,Business travel,Business,3882,4,4,4,3,4,1,1,1,1,1,1,3,0,0.0
satisfied,Loyal Customer,68,Personal Travel,Eco,538,2,5,2,3,4,5,5,5,5,5,5,3,4,0.0
satisfied,Loyal Customer,40,Business travel,Business,1304,5,5,5,3,1,5,5,5,5,2,5,3,0,0.0
dissatisfied,Loyal Customer,68,Personal Travel,Business,425,5,2,2,4,2,1,1,2,1,4,1,3,0,0.0
dissatisfied,Loyal Customer,36,Personal Travel,Eco,2419,4,1,4,4,4,4,4,4,2,4,3,4,0,0.0
satisfied,Loyal Customer,44,Business travel,Eco,561,1,1,1,5,5,3,3,5,3,1,3,1,1,0.0
satisfied,Loyal Customer,65,Personal Travel,Eco,1000,4,4,4,4,4,3,3,3,3,4,3,4,8,0.0
dissatisfied,Loyal Customer,35,Business travel,Eco Plus,2696,3,3,3,2,2,2,1,1,4,1,4,2,3,0.0
satisfied,Loyal Customer,46,Personal Travel,Eco,898,4,4,2,2,5,3,3,4,3,4,3,3,0,0.0
dissatisfied,Loyal Customer,53,Personal Travel,Eco,1495,4,2,3,2,2,2,4,2,4,5,4,2,60,39.0
satisfied,Loyal Customer,44,Personal Travel,Eco,235,2,2,2,3,5,4,4,4,4,4,4,5,0,0.0
dissatisfied,Loyal Customer,27,Personal Travel,Eco,1741,1,2,3,1,1,1,2,5,2,3,3,1,0,0.0
satisfied,Loyal Customer,44,Business travel,Business,1537,5,5,5,5,5,4,4,4,4,4,4,5,0,0.0
satisfied,Loyal Customer,25,Business travel,Business,1507,5,5,5,5,5,5,3,5,4,3,5,5,0,0.0
satisfied,Loyal Customer,27,Business travel,Business,3930,5,5,5,4,4,4,1,4,3,4,3,4,1,0.0
satisfied,disloyal Customer,22,Business travel,Eco,2258,4,4,4,4,4,5,5,5,5,4,5,4,2,37.0
dissatisfied,disloyal Customer,57,Business travel,Eco,1475,0,2,1,2,2,2,3,4,2,2,1,2,0,0.0
satisfied,Loyal Customer,44,Business travel,Eco,2632,5,5,5,5,5,5,1,1,4,3,4,5,0,0.0
satisfied,Loyal Customer,58,Business travel,Business,1911,4,5,4,3,5,5,5,5,5,4,5,5,18,10.0
satisfied,Loyal Customer,23,Business travel,Business,1912,4,4,4,5,5,5,4,3,4,5,5,5,0,0.0
dissatisfied,Loyal Customer,50,Personal Travel,Eco,1297,5,0,2,5,4,5,5,2,4,5,4,5,0,8.0
satisfied,disloyal Customer,39,Business travel,Business,1826,3,3,3,3,3,3,4,4,4,3,5,3,0,0.0
satisfied,Loyal Customer,32,Business travel,Business,5154,4,4,4,4,4,4,3,2,4,3,5,4,65,62.0
satisfied,Loyal Customer,52,Business travel,Business,770,5,5,5,2,4,5,5,5,5,3,5,5,0,0.0
satisfied,Loyal Customer,57,Business travel,Business,97,5,5,5,1,1,5,5,5,3,4,5,5,91,128.0
satisfied,Loyal Customer,58,Business travel,Business,2682,4,4,4,5,5,3,5,4,5,5,3,5,170,172.0
dissatisfied,Loyal Customer,49,Business travel,Business,2164,3,1,3,2,3,2,2,2,2,4,2,1,0,0.0
dissatisfied,Loyal Customer,23,Personal Travel,Eco,897,3,2,2,1,1,1,4,5,5,5,5,1,9,0.0
dissatisfied,disloyal Customer,20,Business travel,Eco,1806,3,3,3,2,2,2,4,4,4,5,5,2,31,12.0
satisfied,Loyal Customer,46,Business travel,Business,2479,2,2,2,5,4,4,3,4,5,4,4,4,44,26.0
dissatisfied,disloyal Customer,31,Business travel,Eco,1739,2,2,4,3,3,3,1,5,3,2,4,3,125,113.0
dissatisfied,disloyal Customer,39,Business travel,Business,1906,3,3,4,1,1,1,3,1,4,1,4,1,0,0.0
dissatisfied,Loyal Customer,37,Personal Travel,Eco,1523,4,2,1,1,1,1,5,4,4,4,4,1,0,0.0
satisfied,Loyal Customer,51,Personal Travel,Eco,413,4,4,4,2,5,5,5,5,5,3,5,5,71,50.0
satisfied,Loyal Customer,35,Business travel,Business,3374,4,4,4,1,4,5,5,5,5,5,5,3,0,0.0
dissatisfied,Loyal Customer,38,Business travel,Business,1543,2,5,2,2,4,2,2,2,2,2,2,1,64,39.0
satisfied,Loyal Customer,58,Business travel,Business,3608,3,3,3,5,5,5,5,5,5,5,5,4,0,0.0
dissatisfied,Loyal Customer,71,Business travel,Eco,1693,1,1,1,3,3,3,4,2,3,1,4,3,0,0.0
dissatisfied,disloyal Customer,39,Business travel,Business,2749,1,1,5,5,5,5,3,5,3,3,5,5,33,30.0
dissatisfied,disloyal Customer,34,Business travel,Business,1677,3,3,2,2,5,2,4,3,4,5,4,2,0,0.0
satisfied,Loyal Customer,30,Business travel,Business,3808,4,4,4,5,5,5,4,5,5,5,4,5,0,0.0
dissatisfied,Loyal Customer,8,Personal Travel,Eco,1679,1,2,4,1,1,1,2,5,4,4,4,1,18,13.0
dissatisfied,Loyal Customer,67,Personal Travel,Business,136,0,4,5,5,5,4,4,4,5,3,4,5,0,10.0
satisfied,Loyal Customer,34,Personal Travel,Eco,1433,4,4,4,2,5,4,4,4,4,5,4,4,14,34.0
dissatisfied,Loyal Customer,46,Business travel,Business,1728,2,2,2,5,3,2,2,2,2,4,2,3,5,0.0
satisfied,Loyal Customer,62,Personal Travel,Eco,598,5,5,5,5,5,5,1,3,1,3,2,5,77,69.0
satisfied,Loyal Customer,39,Business travel,Eco Plus,1722,4,4,4,4,4,4,5,5,2,3,3,4,46,43.0
satisfied,Loyal Customer,65,Personal Travel,Eco Plus,479,3,3,3,3,5,5,5,5,5,5,5,5,0,0.0
satisfied,Loyal Customer,47,Business travel,Business,1640,5,1,5,4,5,4,4,4,4,3,4,5,127,126.0
dissatisfied,disloyal Customer,25,Business travel,Eco Plus,2829,2,3,3,4,4,4,1,5,4,2,3,4,104,101.0
satisfied,Loyal Customer,31,Personal Travel,Eco,2494,5,5,5,5,5,5,5,3,5,3,4,5,0,
satisfied,Loyal Customer,50,Personal Travel,Eco,362,4,3,4,4,4,5,5,5,5,5,5,3,0,0.0
satisfied,Loyal Customer,56,Business travel,Business,3146,3,3,3,5,1,5,5,5,5,4,5,4,71,65.0
dissatisfied,Loyal Customer,34,Business travel,Business,2875,3,3,3,3,4,3,3,3,3,3,3,3,1,23.0
satisfied,Loyal Customer,50,Business travel,Business,1467,4,4,4,2,5,4,4,4,4,4,4,5,0,21.0
dissatisfied,disloyal Customer,31,Business travel,Business,3331,3,3,4,5,5,5,3,5,5,5,4,5,5,0.0
dissatisfied,Loyal Customer,41,Business travel,Eco Plus,1624,3,4,3,4,4,4,2,5,4,2,3,4,21,19.0
dissatisfied,disloyal Customer,28,Business travel,Eco,3231,2,2,3,2,5,2,2,1,3,3,4,2,20,22.0
dissatisfied,Loyal Customer,30,Business travel,Business,3762,5,5,5,2,3,2,2,2,3,2,3,2,41,40.0
satisfied,Loyal Customer,16,Personal Travel,Eco,2218,4,4,1,2,1,2,4,5,5,5,5,2,17,0.0
satisfied,Loyal Customer,38,Business travel,Eco,2193,1,1,1,5,5,5,2,1,1,3,1,5,0,0.0
dissatisfied,Loyal Customer,66,Personal Travel,Eco,2720,2,1,3,4,4,4,2,3,4,4,3,4,7,31.0
dissatisfied,Loyal Customer,62,Personal Travel,Business,1013,3,3,4,4,4,1,1,3,1,1,1,3,0,0.0
satisfied,disloyal Customer,24,Business travel,Eco,1546,0,0,2,5,5,5,2,1,4,2,5,5,4,4.0
dissatisfied,Loyal Customer,13,Personal Travel,Business,2484,5,2,3,1,1,1,1,5,2,3,2,1,0,9.0
dissatisfied,disloyal Customer,36,Business travel,Business,1829,2,2,2,3,3,3,3,3,5,3,5,3,0,0.0
satisfied,Loyal Customer,48,Business travel,Business,1129,2,2,2,5,5,4,4,4,4,4,4,4,18,5.0
satisfied,Loyal Customer,41,Business travel,Business,1049,3,3,3,4,5,5,5,5,5,4,5,3,61,65.0
satisfied,Loyal Customer,50,Business travel,Business,3968,3,3,3,2,5,5,5,5,4,4,5,4,0,0.0
satisfied,Loyal Customer,40,Business travel,Eco,2254,4,3,4,3,3,3,2,4,2,1,2,3,11,11.0
dissatisfied,Loyal Customer,7,Personal Travel,Eco,1562,5,3,5,4,3,4,1,2,4,5,4,4,8,0.0
satisfied,Loyal Customer,41,Business travel,Business,366,1,1,1,3,4,4,4,4,4,3,4,5,0,0.0
dissatisfied,Loyal Customer,31,Business travel,Business,3007,3,3,3,1,1,1,4,3,2,2,2,1,0,0.0
satisfied,Loyal Customer,33,Business travel,Eco Plus,2155,3,3,3,4,4,4,2,3,1,1,5,4,0,5.0
satisfied,Loyal Customer,22,Personal Travel,Eco,2047,3,3,3,5,4,4,4,4,5,3,4,5,1,7.0
satisfied,Loyal Customer,57,Business travel,Business,892,5,4,5,5,5,4,4,4,4,4,4,5,0,0.0
dissatisfied,Loyal Customer,29,Personal Travel,Business,1849,4,1,3,3,3,3,4,1,3,3,4,3,0,0.0
satisfied,disloyal Customer,25,Business travel,Eco,1729,0,4,3,2,4,2,2,4,1,4,5,2,8,7.0
satisfied,Loyal Customer,52,Business travel,Eco,1235,2,2,2,5,2,5,5,5,5,4,5,5,63,57.0
dissatisfied,disloyal Customer,40,Business travel,Business,1992,3,3,4,3,3,3,4,2,4,2,3,3,1,1.0
satisfied,disloyal Customer,27,Business travel,Business,1216,5,5,1,3,3,3,5,2,5,4,5,3,23,20.0
satisfied,Loyal Customer,35,Personal Travel,Eco,2707,1,1,1,5,5,4,4,4,4,3,4,4,0,0.0
dissatisfied,disloyal Customer,11,Business travel,Eco,2479,2,2,2,5,5,5,4,5,3,2,4,5,0,0.0
dissatisfied,disloyal Customer,43,Business travel,Business,2557,2,2,3,2,3,2,3,4,4,4,5,2,0,0.0
satisfied,Loyal Customer,55,Business travel,Business,2134,5,5,5,3,5,5,5,5,5,5,5,4,0,32.0
satisfied,Loyal Customer,50,Business travel,Eco,2295,5,5,5,3,3,3,4,4,5,3,5,3,8,0.0
dissatisfied,disloyal Customer,43,Business travel,Eco,2025,0,3,3,2,2,2,1,5,4,3,3,2,0,0.0
dissatisfied,Loyal Customer,62,Personal Travel,Eco,2633,5,3,4,2,2,2,3,5,5,4,4,2,0,0.0
satisfied,Loyal Customer,45,Business travel,Business,954,2,2,2,4,5,4,4,4,4,3,4,3,0,0.0
satisfied,Loyal Customer,46,Personal Travel,Eco,382,3,3,3,5,5,5,1,2,3,5,5,5,0,0.0
satisfied,Loyal Customer,33,Business travel,Business,2186,3,2,2,5,5,3,3,4,3,5,3,3,0,17.0
